service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA22GEN-4103-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-5111-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-6089-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-7063-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-A084-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-B084-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-C054-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-D079-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-E073-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-F076-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-G052-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-G052-Weekday-00-0111100,0,1,1,1,1,0,0,20221205,20230623
AFA22GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-H041-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-H041-Weekday-00-0111100,0,1,1,1,1,0,0,20221205,20230623
BFA22GEN-J052-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-L049-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-M089-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-M089-Weekday-00-0111100,0,1,1,1,1,0,0,20221205,20230623
BFA22GEN-N096-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-Q065-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
BFA22GEN-R092-Weekday-00,1,1,1,1,1,0,0,20221205,20230623
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20221205,20230623
AFA22GEN-1038-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-2042-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-3039-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-4043-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-5043-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-6033-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-7023-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-A046-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-C025-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-D039-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-E041-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-F044-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-G036-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
AFA22GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-H026-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-J032-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-L022-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-M024-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-N056-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
BFA22GEN-R051-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20221210,20230624
